MONTH,DAY,WEEKDAY,AIRLINE,ORG_AIR,DEST_AIR,SCHED_DEP,DEP_DELAY,AIR_TIME,DIST,SCHED_ARR,ARR_DELAY
2,2,1,WN,LAS,ONT,825,-4.0,33.0,197,915,-4.0
2,2,1,AA,LAS,JFK,810,-2.0,,2248,1602,
2,2,1,OO,ORD,DSM,1628,34.0,55.0,299,1748,45.0
2,3,2,WN,ATL,DEN,1345,4.0,187.0,1199,1515,3.0
2,3,2,US,PHX,MKE,1115,33.0,180.0,1460,1538,27.0
2,3,2,EV,IAH,LRD,1430,5.0,54.0,301,1546,-1.0
2,4,3,UA,ORD,TPA,930,0.0,132.0,1012,1306,-8.0
2,4,3,WN,LAS,SNA,1035,-4.0,41.0,226,1135,-9.0
2,4,3,OO,LAX,ELP,841,-8.0,98.0,715,1138,-10.0
2,5,4,WN,PHX,MCI,1440,61.0,137.0,1044,1810,61.0
2,5,4,OO,PHX,GJT,1948,-6.0,63.0,438,2116,-6.0
2,5,4,OO,SFO,EUG,829,,,451,1002,
2,5,4,F9,DEN,IAH,1920,17.0,108.0,862,2231,19.0
2,6,5,VX,SFO,SEA,1645,,,679,1845,
2,6,5,OO,DEN,BIS,1425,-6.0,73.0,516,1702,-9.0
2,6,5,EV,IAH,MCI,1135,-9.0,93.0,643,1339,-18.0
2,7,6,MQ,DFW,MSN,2040,-4.0,113.0,821,2251,2.0
2,7,6,OO,LAX,MTJ,1300,7.0,82.0,666,1557,7.0
2,7,6,US,SFO,PHX,1550,-8.0,88.0,651,1845,-13.0
2,8,7,MQ,DFW,MOB,1620,6.0,68.0,539,1754,12.0
2,8,7,OO,LAX,SBP,2027,13.0,51.0,156,2127,29.0
2,8,7,WN,PHX,MSP,1115,-1.0,159.0,1276,1530,-19.0
2,9,1,DL,ATL,HOU,2104,-2.0,101.0,696,2223,-20.0
2,9,1,UA,ORD,MSP,1000,42.0,55.0,334,1132,23.0
2,9,1,OO,IAH,OMA,1900,-5.0,113.0,781,2109,1.0
2,10,2,AA,LAX,DFW,1815,-8.0,146.0,1235,2308,-21.0
2,10,2,AA,PHX,SNA,1500,57.0,54.0,338,1520,45.0
2,10,2,NK,ORD,DEN,1107,-3.0,140.0,888,1249,-4.0
2,11,3,F9,DEN,MKE,1053,-2.0,120.0,896,1405,0.0
2,11,3,OO,DEN,DAY,1000,-1.0,135.0,1085,1440,6.0
2,11,3,UA,IAH,LGA,720,-5.0,200.0,1416,1143,15.0
2,12,4,MQ,DFW,ABI,1315,-1.0,29.0,158,1403,3.0
2,12,4,UA,IAH,MSY,1304,5.0,46.0,305,1416,22.0
2,12,4,DL,MSP,MIA,1005,-7.0,177.0,1501,1453,-28.0
2,12,4,VX,SFO,LAS,1800,-4.0,64.0,414,1930,-11.0
2,13,5,DL,ATL,PIT,1655,0.0,78.0,526,1834,-3.0
2,13,5,UA,LAX,EWR,2105,-3.0,285.0,2454,515,-8.0
2,13,5,AA,DFW,TPA,1900,14.0,110.0,929,2211,12.0
2,13,5,DL,MSP,TPA,1740,3.0,152.0,1306,2153,-21.0
2,14,6,AS,SFO,SEA,2045,1.0,101.0,679,2241,1.0
2,14,6,WN,DEN,EWR,1640,,,1605,2210,
2,15,7,DL,DFW,SLC,830,-1.0,136.0,989,1024,-13.0
2,15,7,AA,LAX,DFW,630,-3.0,153.0,1235,1130,-5.0
2,15,7,UA,ORD,SFO,1810,50.0,249.0,1846,2059,77.0
2,15,7,US,PHX,LAX,1805,6.0,54.0,370,1831,3.0
2,16,1,DL,ATL,RSW,1340,7.0,77.0,515,1525,-7.0
2,16,1,OO,MSP,GFK,1526,16.0,51.0,284,1643,18.0
2,16,1,DL,ATL,PHX,1955,48.0,233.0,1587,2215,43.0
2,17,2,AS,ATL,SEA,1810,-1.0,317.0,2182,2050,-1.0
2,17,2,WN,PHX,DEN,1225,-3.0,88.0,602,1415,-13.0
2,17,2,US,LAX,RDU,810,-4.0,260.0,2239,1546,-3.0
2,17,2,DL,ATL,JAN,1454,30.0,61.0,341,1516,27.0
2,18,3,OO,DEN,BIS,1426,5.0,83.0,516,1703,7.0
2,18,3,EV,DFW,SHV,2045,,,190,2139,
2,18,3,DL,ATL,PDX,940,17.0,320.0,2172,1214,29.0
2,19,4,MQ,DFW,GCK,1225,6.0,69.0,404,1351,5.0
2,19,4,WN,DEN,BOI,1335,-4.0,98.0,649,1530,-6.0
2,19,4,UA,ORD,IAH,1045,440.0,126.0,925,1339,409.0
2,19,4,AA,DFW,DCA,1335,-4.0,138.0,1192,1716,-14.0
2,20,5,AA,DFW,SAN,1805,-2.0,165.0,1171,1911,-8.0
2,20,5,WN,LAS,SJC,1955,1.0,63.0,386,2125,-15.0
2,20,5,WN,LAS,RDU,1605,9.0,215.0,2026,2320,-16.0
2,20,5,EV,MSP,IAH,1725,17.0,139.0,1034,2024,6.0
2,21,6,DL,ATL,DCA,1050,-4.0,,547,1231,
2,21,6,UA,SFO,SEA,1618,-1.0,105.0,679,1829,-2.0
2,21,6,EV,DEN,ISN,1005,-4.0,84.0,576,1301,-9.0
2,22,7,OO,DEN,HYS,1545,19.0,42.0,298,1802,28.0
2,22,7,MQ,ORD,DAY,1725,39.0,40.0,240,1929,32.0
2,22,7,MQ,DFW,VPS,2010,,,641,2158,
2,23,1,EV,ATL,OAJ,911,32.0,58.0,399,1030,57.0
2,23,1,F9,LAS,DEN,937,28.0,78.0,628,1225,25.0
2,23,1,UA,SFO,BOS,623,3.0,295.0,2704,1458,-20.0
2,24,2,WN,PHX,OAK,1720,1.0,108.0,646,1820,0.0
2,24,2,MQ,ATL,LGA,625,-3.0,99.0,762,830,35.0
2,24,2,UA,ORD,BZN,952,-8.0,174.0,1186,1219,-23.0
2,24,2,WN,DEN,OKC,1220,7.0,71.0,495,1450,3.0
2,25,3,WN,LAS,ONT,1410,60.0,34.0,197,1505,53.0
2,25,3,OO,DEN,BOI,2205,54.0,93.0,649,3,91.0
2,25,3,UA,DEN,DFW,2209,59.0,78.0,641,113,56.0
2,26,4,DL,ATL,SRQ,1040,13.0,71.0,444,1213,18.0
2,26,4,AA,DFW,LGA,1230,-6.0,156.0,1389,1640,-22.0
2,26,4,DL,ATL,MIA,1735,15.0,92.0,594,1933,21.0
2,26,4,EV,DFW,BTR,900,-3.0,58.0,383,1014,3.0
2,27,5,WN,LAS,PHX,2055,137.0,38.0,255,2300,135.0
2,27,5,AS,LAS,SEA,1155,-12.0,132.0,867,1434,-14.0
2,27,5,DL,ATL,TPA,1920,5.0,63.0,406,2045,2.0
2,28,6,UA,LAS,ORD,1305,-4.0,161.0,1514,1835,3.0
2,28,6,DL,ATL,PVD,932,0.0,102.0,903,1153,-22.0
2,28,6,WN,LAS,RDU,1420,28.0,213.0,2026,2135,-1.0
3,1,7,DL,ATL,DEN,2040,2.0,182.0,1199,2210,-4.0
3,1,7,AA,DFW,MCI,1930,41.0,61.0,460,2101,31.0
3,1,7,UA,DEN,SEA,1510,11.0,145.0,1024,1708,-9.0
3,2,1,US,DFW,PHL,1525,2.0,160.0,1303,1928,3.0
3,2,1,EV,IAH,BRO,2111,,,308,2224,
3,2,1,EV,IAH,BRO,1137,-3.0,53.0,308,1255,-9.0
3,2,1,DL,ATL,MDW,1904,3.0,91.0,591,2003,-3.0
3,3,2,EV,IAH,HSV,1544,46.0,85.0,595,1731,39.0
3,3,2,EV,ATL,MYR,1513,39.0,48.0,317,1625,32.0
3,3,2,WN,ATL,DEN,1850,47.0,196.0,1199,2020,65.0
3,4,3,NK,PHX,DFW,200,-4.0,100.0,868,501,-5.0
3,4,3,WN,LAX,DAL,1215,10.0,152.0,1246,1710,2.0
3,4,3,AA,DFW,CMH,820,-2.0,105.0,926,1138,-14.0
3,4,3,EV,ORD,CVG,2105,,,265,2322,
3,5,4,WN,LAS,SMF,1200,-3.0,64.0,397,1335,-11.0
3,5,4,WN,LAS,ABQ,1610,3.0,68.0,486,1835,10.0
3,5,4,DL,ATL,FLL,2034,8.0,84.0,581,2226,11.0
3,5,4,UA,LAX,EWR,1200,20.0,263.0,2454,2024,1.0
3,6,5,OO,MSP,LSE,1425,-6.0,24.0,119,1520,-9.0
3,6,5,B6,LAX,FLL,2240,42.0,260.0,2342,628,32.0
3,6,5,OO,LAX,OAK,1540,57.0,55.0,337,1705,56.0
3,6,5,WN,ATL,SFO,850,9.0,293.0,2139,1125,-3.0
3,7,6,AA,LAX,BNA,2225,33.0,203.0,1797,514,25.0
3,7,6,AS,LAX,PDX,1740,-6.0,117.0,834,2000,-2.0
3,7,6,WN,SFO,LAX,950,-1.0,57.0,337,1110,-10.0
3,8,7,AA,IAH,DFW,1331,-7.0,49.0,224,1444,-5.0
3,8,7,EV,DEN,DIK,1951,-7.0,70.0,488,2132,-20.0
3,8,7,AA,LAX,DCA,820,83.0,277.0,2311,1613,163.0
3,8,7,AA,LAS,DFW,1905,15.0,129.0,1055,2338,23.0
3,9,1,AA,ORD,DCA,1135,-9.0,81.0,612,1419,-15.0
3,9,1,DL,ATL,PBI,1742,9.0,81.0,545,1935,-8.0
3,9,1,EV,IAH,XNA,1056,-4.0,61.0,438,1224,-15.0
3,10,2,EV,ORD,TVC,2045,-1.0,39.0,224,2252,-13.0
3,10,2,DL,ATL,SRQ,910,20.0,65.0,444,1039,12.0
3,10,2,WN,DEN,IAD,1240,-5.0,171.0,1452,1750,-7.0
3,10,2,WN,LAS,HOU,950,-1.0,153.0,1235,1445,-8.0
3,11,3,EV,ATL,VLD,905,-6.0,38.0,208,1000,3.0
3,11,3,DL,ATL,TLH,909,-4.0,42.0,223,1013,-3.0
3,11,3,WN,LAS,LAX,550,-3.0,41.0,236,700,-14.0
3,11,3,DL,ATL,SAT,1516,9.0,127.0,874,1703,-9.0
3,12,4,WN,MSP,DEN,630,-3.0,96.0,680,745,-22.0
3,12,4,DL,ATL,MCO,2255,-1.0,59.0,404,18,-10.0
3,12,4,OO,PHX,YUM,1640,-8.0,31.0,160,1731,-7.0
3,13,5,F9,DEN,RSW,2359,-1.0,194.0,1607,535,-2.0
3,13,5,MQ,ORD,FSD,945,-4.0,68.0,462,1130,-31.0
3,13,5,DL,MSP,BOS,700,8.0,126.0,1124,1044,-12.0
3,13,5,UA,ORD,BDL,1718,-4.0,93.0,783,2024,-14.0
3,14,6,OO,DEN,SLC,1845,43.0,56.0,391,2018,23.0
3,14,6,AA,DFW,TPA,1230,29.0,115.0,929,1542,29.0
3,14,6,OO,ORD,CMX,1855,-9.0,67.0,359,2121,0.0
3,15,7,MQ,ORD,MDT,1350,10.0,78.0,594,1628,14.0
3,15,7,US,PHX,SJC,1640,-4.0,86.0,621,1832,-11.0
3,15,7,US,ORD,CLT,725,0.0,83.0,599,1027,-7.0
3,16,1,DL,ATL,MDT,1515,-4.0,87.0,620,1713,-16.0
3,16,1,MQ,DFW,GRR,930,0.0,114.0,931,1250,-9.0
3,16,1,DL,MSP,LGA,711,-3.0,130.0,1020,1054,-17.0
3,17,2,UA,IAH,HNL,940,6.0,478.0,3904,1308,-2.0
3,17,2,MQ,ORD,CID,1355,-3.0,42.0,196,1454,5.0
3,17,2,EV,ORD,HSV,1920,-6.0,74.0,510,2100,-10.0
3,17,2,NK,ORD,LGA,556,-6.0,90.0,733,900,-18.0
3,18,3,OO,MSP,BJI,2150,-5.0,36.0,199,2256,-11.0
3,18,3,EV,IAH,CLT,1713,-4.0,113.0,912,2031,-11.0
3,18,3,AA,DFW,TUL,1620,-1.0,36.0,237,1720,-8.0
3,19,4,WN,LAS,SFO,1755,7.0,66.0,414,1930,-7.0
3,19,4,DL,ATL,TYS,1236,2.0,29.0,152,1327,-2.0
3,19,4,UA,IAH,DCA,905,-5.0,141.0,1208,1259,-19.0
3,20,5,UA,DEN,SJC,1911,45.0,121.0,948,2057,16.0
3,20,5,UA,LAX,DEN,1744,17.0,118.0,862,2103,15.0
3,20,5,US,PHX,SAN,2000,-3.0,47.0,304,2112,-9.0
3,20,5,US,DFW,PHL,825,-6.0,145.0,1303,1224,-14.0
3,20,5,EV,IAH,AEX,2105,-6.0,38.0,190,2203,-5.0
3,21,6,DL,ATL,SLC,815,-2.0,231.0,1590,1028,-2.0
3,21,6,EV,IAH,BRO,1512,13.0,61.0,308,1624,13.0
3,21,6,WN,PHX,LAX,830,0.0,59.0,370,955,-5.0
3,22,7,US,PHX,PDX,2015,-5.0,132.0,1009,2305,-20.0
3,22,7,NK,ORD,DEN,2140,-3.0,136.0,888,2321,0.0
3,22,7,US,MSP,CLT,650,-4.0,110.0,930,1033,-33.0
3,22,7,OO,ORD,DCA,700,-1.0,78.0,612,951,-17.0
3,23,1,DL,MSP,TPA,1740,35.0,156.0,1306,2148,23.0
3,23,1,AA,LAX,ATL,1535,-1.0,210.0,1947,2244,-5.0
3,23,1,UA,IAH,HNL,940,6.0,485.0,3904,1308,1.0
3,24,2,US,LAX,PHX,625,-6.0,54.0,370,753,-7.0
3,24,2,DL,ATL,EWR,1740,19.0,101.0,746,1959,0.0
3,24,2,US,IAH,PHL,620,-4.0,158.0,1325,1025,-11.0
3,24,2,NK,LAS,DEN,811,64.0,79.0,628,1057,53.0
3,25,3,B6,SFO,LGB,1910,-4.0,61.0,354,2030,-8.0
3,25,3,DL,ATL,DAY,1205,9.0,68.0,432,1333,14.0
3,25,3,EV,DFW,TYS,1320,40.0,94.0,772,1615,30.0
3,25,3,UA,ORD,EWR,600,-12.0,96.0,719,905,-22.0
3,26,4,DL,MSP,PDX,1525,3.0,188.0,1426,1703,-12.0
3,26,4,UA,IAH,MCO,845,28.0,116.0,854,1156,65.0
3,26,4,WN,ATL,MKE,1130,3.0,89.0,669,1235,-15.0
3,27,5,MQ,ORD,OKC,2150,8.0,86.0,693,2359,3.0
3,27,5,AS,LAX,SEA,1835,-7.0,126.0,954,2115,-21.0
3,27,5,OO,DEN,HLN,1855,-5.0,88.0,594,2053,-20.0
3,27,5,WN,LAS,MSY,1930,-2.0,171.0,1500,45,-8.0
3,28,6,US,PHX,ORD,1230,-6.0,181.0,1440,1756,-4.0
3,28,6,OO,DEN,FCA,1852,-6.0,119.0,752,2115,-15.0
3,28,6,AA,DFW,PNS,1935,4.0,76.0,604,2121,-5.0
3,29,7,MQ,DFW,ROW,2155,-1.0,69.0,435,2230,-8.0
3,29,7,EV,IAH,BHM,2105,-7.0,76.0,562,2245,-12.0
3,29,7,VX,LAX,SFO,800,-1.0,53.0,337,920,-16.0
3,30,1,UA,LAS,ORD,2333,5.0,190.0,1514,515,-5.0
3,30,1,OO,IAH,DFW,1053,0.0,51.0,224,1205,-3.0
3,30,1,MQ,ORD,BNA,2020,-2.0,55.0,409,2156,-27.0
3,30,1,WN,PHX,SMF,1105,-4.0,96.0,647,1305,-6.0
3,31,2,WN,ATL,MCO,825,-4.0,59.0,404,1000,-18.0
3,31,2,DL,ATL,VPS,814,-1.0,46.0,250,825,-12.0
3,31,2,UA,IAH,PHX,1440,12.0,141.0,1009,1536,0.0
4,1,3,DL,DEN,ATL,615,1.0,145.0,1199,1119,-16.0
4,1,3,AA,DFW,MCI,1330,25.0,68.0,460,1506,20.0
4,1,3,WN,ATL,MKE,1130,-6.0,99.0,669,1235,-11.0
4,1,3,WN,ATL,JAX,1525,31.0,46.0,270,1640,14.0
4,2,4,AA,ORD,CLT,1500,7.0,93.0,599,1803,11.0
4,2,4,WN,PHX,LAS,1715,7.0,42.0,255,1815,5.0
4,2,4,WN,DEN,MCO,1415,-5.0,170.0,1546,1935,-19.0
4,2,4,UA,DEN,PDX,1519,-2.0,139.0,991,1711,-24.0
4,3,5,WN,DEN,SMF,1835,21.0,138.0,909,2010,21.0
4,3,5,F9,SFO,DEN,1515,242.0,107.0,967,1840,220.0
4,3,5,WN,MSP,MCI,1500,0.0,63.0,393,1625,-7.0
4,4,6,WN,DEN,MDW,2040,17.0,101.0,895,2355,-3.0
4,4,6,US,PHX,DEN,1215,-3.0,74.0,602,1503,-8.0
4,4,6,AA,DFW,ORD,830,-7.0,104.0,802,1053,-23.0
4,5,7,EV,ORD,TYS,2050,-2.0,65.0,475,2319,-6.0
4,5,7,DL,SFO,MSP,750,21.0,169.0,1589,1323,-6.0
4,5,7,UA,ORD,STT,845,252.0,230.0,2116,1435,215.0
4,5,7,WN,ATL,IND,1030,-5.0,73.0,432,1210,-17.0
4,6,1,MQ,DFW,GRK,1155,15.0,33.0,134,1250,28.0
4,6,1,NK,IAH,SAN,2119,-9.0,188.0,1303,2245,-11.0
4,6,1,UA,ORD,LAX,2035,6.0,253.0,1744,2313,21.0
4,7,2,UA,ORD,PIT,1400,0.0,59.0,413,1632,12.0
4,7,2,EV,IAH,MEM,755,-8.0,72.0,468,932,-4.0
4,7,2,AA,DFW,OMA,2020,-1.0,80.0,583,2216,-18.0
4,7,2,DL,ATL,RDU,1625,1.0,57.0,356,1750,-12.0
4,8,3,OO,PHX,LAX,1804,-10.0,64.0,370,1935,-12.0
4,8,3,F9,IAH,DEN,1911,-1.0,114.0,862,2042,-5.0
4,8,3,EV,ORD,HPN,1345,-1.0,96.0,738,1659,7.0
4,9,4,AA,DFW,BNA,1325,-6.0,81.0,631,1514,-9.0
4,9,4,EV,MSP,MDW,1721,2.0,68.0,349,1851,36.0
4,9,4,US,LAX,PIT,1121,0.0,246.0,2136,1858,0.0
4,9,4,UA,IAH,ORD,1735,182.0,115.0,925,2020,150.0
4,10,5,DL,PHX,DTW,2335,-5.0,185.0,1671,612,-13.0
4,10,5,DL,ATL,MCO,950,0.0,62.0,404,1122,37.0
4,10,5,EV,ORD,LEX,816,-2.0,55.0,323,1036,-4.0
4,10,5,OO,ORD,DLH,1622,-1.0,64.0,397,1756,10.0
4,11,6,EV,ATL,CAE,1810,-2.0,32.0,192,1907,-2.0
4,11,6,OO,DEN,FSD,1740,-6.0,72.0,483,2013,-6.0
4,12,7,DL,ATL,MCO,745,-2.0,59.0,404,905,-6.0
4,12,7,WN,PHX,ONT,1255,1.0,45.0,325,1400,-6.0
4,12,7,OO,PHX,PSP,840,-5.0,44.0,261,957,-11.0
4,12,7,AA,ORD,SJC,2000,73.0,277.0,1829,2241,112.0
4,13,1,OO,DEN,PSP,1520,-3.0,110.0,776,1639,-4.0
4,13,1,EV,ATL,BMI,1454,4.0,74.0,533,1535,-8.0
4,13,1,MQ,ORD,MDT,1500,-1.0,71.0,594,1750,-23.0
4,14,2,AA,DFW,RIC,1845,-4.0,142.0,1158,2244,-22.0
4,14,2,AA,ORD,DFW,1645,-5.0,119.0,802,1928,-23.0
4,14,2,OO,LAX,ASE,1050,-3.0,98.0,737,1354,-17.0
4,14,2,WN,ATL,MDW,1900,6.0,86.0,591,2000,-4.0
4,15,3,UA,IAH,ORD,1537,23.0,119.0,925,1820,14.0
4,15,3,EV,ORD,BHM,1950,-5.0,81.0,584,2141,-13.0
4,15,3,OO,SFO,RNO,730,-3.0,39.0,192,834,0.0
4,15,3,VX,SFO,LAX,1530,-5.0,53.0,337,1650,-16.0
4,16,4,UA,DEN,IAH,1505,12.0,128.0,862,1824,54.0
4,16,4,AA,DFW,DCA,1020,15.0,146.0,1192,1425,-4.0
4,16,4,DL,MSP,LAS,900,-2.0,162.0,1299,1024,-19.0
4,16,4,WN,PHX,MSP,1040,14.0,157.0,1276,1545,1.0
4,17,5,DL,LAS,CVG,2345,-6.0,195.0,1678,624,-4.0
4,17,5,AA,LAX,ORD,130,-4.0,209.0,1744,738,-23.0
4,17,5,AA,DFW,RDU,710,-1.0,129.0,1061,1058,-12.0
4,17,5,DL,ATL,MEM,1509,5.0,58.0,332,1535,-3.0
4,18,6,US,DEN,CLT,1015,-7.0,173.0,1337,1533,-6.0
4,18,6,AA,SFO,ORD,1710,-6.0,233.0,1846,2319,0.0
4,18,6,DL,ATL,PNS,1735,0.0,47.0,271,1746,21.0
