INSTNM,CITY,STABBR,HBCU,MENONLY,WOMENONLY,RELAFFIL,SATVRMID,SATMTMID,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,PCTPELL,PCTFLOAN,UG25ABV,MD_EARN_WNE_P10,GRAD_DEBT_MDN_SUPP
Birmingham Southern College,Birmingham,AL,0.0,0.0,0.0,1,560.0,560.0,0.0,1180.0,0.7983,0.1102,0.0195,0.0517,0.0102,0.0,0.0051,0.0,0.0051,0.0017,1,0.192,0.4809,0.0152,44200,27000
Chattahoochee Valley Comm. College,Phenix City,AL,0.0,0.0,0.0,0,,,0.0,1727.0,0.4661,0.4372,0.0492,0.0127,0.0023,0.0035,0.0151,0.0,0.0139,0.4198,1,0.6369,0.2537,0.3876,26100,9000
Concordia College Alabama,Selma,AL,1.0,0.0,0.0,1,420.0,400.0,0.0,322.0,0.027999999999999997,0.8758,0.0373,0.0093,0.0,0.0,0.0031,0.0466,0.0,0.1056,1,0.8667,0.9333,0.2367,19900,PrivacySuppressed
South Univ.-Montgomery,Montgomery,AL,0.0,0.0,0.0,0,,,0.0,522.0,0.3046,0.6054,0.0153,0.0153,0.0153,0.0096,0.0,0.0019,0.0326,0.3238,1,0.6845,0.7129,0.5726,28800,25167
Enterprise State Comm. College,Enterprise,AL,0.0,0.0,0.0,0,,,0.0,1729.0,0.6408,0.2435,0.0509,0.0202,0.0081,0.0029,0.0254,0.0012,0.0069,0.3823,1,0.4895,0.2263,0.3399,24600,8273
James H Faulkner State Comm. College,Bay Minette,AL,0.0,0.0,0.0,0,,,0.0,4286.0,0.6979,0.2259,0.032,0.0084,0.0177,0.0014,0.0152,0.0007,0.0009,0.4104,1,0.4725,0.3741,0.2909,28700,11000
Faulkner Univ.,Montgomery,AL,0.0,0.0,0.0,1,,,0.0,2367.0,0.3874,0.5137,0.0258,0.0042,0.0063,0.0013,0.0173,0.0182,0.0258,0.2302,1,0.5812,0.7253,0.4589,37200,22000
Gadsden State Comm. College,Gadsden,AL,1.0,0.0,0.0,0,,,0.0,4917.0,0.6921,0.2076,0.0305,0.0047,0.0128,0.0018,0.0185,0.015,0.0169,0.4523,1,0.5734,0.0,0.3733,25700,PrivacySuppressed
New Beginning College of Cosmetology,Albertville,AL,0.0,0.0,0.0,0,,,0.0,115.0,0.8957,0.0348,0.0696,0.0,0.0,0.0,0.0,0.0,0.0,0.0783,1,0.8224,0.8553,0.3933,,5500
George C Wallace State Comm. College-Dothan,Dothan,AL,0.0,0.0,0.0,0,,,0.0,4293.0,0.6273,0.324,0.0221,0.0072,0.0049,0.0009,0.0126,0.0,0.0009,0.4787,1,0.5501,0.0,0.392,26600,PrivacySuppressed
George C Wallace State Comm. College-Hanceville,Hanceville,AL,0.0,0.0,0.0,0,,,0.0,4920.0,0.863,0.0612,0.0362,0.0065,0.0089,0.0,0.0,0.0059,0.0183,0.4203,1,0.5026,0.4192,0.3229,28800,11186
George C Wallace State Comm. College-Selma,Selma,AL,0.0,0.0,0.0,0,,,0.0,1513.0,0.1956,0.7449,0.0026,0.004,0.0013,0.0,0.0033,0.004,0.0443,0.384,1,0.7645,0.0,0.3318,24200,PrivacySuppressed
Herzing Univ.-Birmingham,Birmingham,AL,0.0,0.0,0.0,0,,,0.0,302.0,0.3543,0.5265,0.0166,0.0066,0.0,0.0,0.0563,0.0,0.0397,0.5497,1,0.6541,0.7736,0.7813,42300,23216.5
Huntingdon College,Montgomery,AL,0.0,0.0,0.0,1,510.0,490.0,0.0,1149.0,0.6388,0.1993,0.0252,0.0078,0.0122,0.0017,0.0261,0.0061,0.0827,0.2097,1,0.3982,0.7153,0.1937,36500,26230
Heritage Christian Univ.,Florence,AL,0.0,0.0,0.0,1,,,0.0,62.0,0.7419,0.1129,0.0484,0.0,0.0323,0.0161,0.0,0.0161,0.0323,0.4355,1,0.6087,0.4493,0.5942,PrivacySuppressed,PrivacySuppressed
J F Drake State Comm. and Technical College,Huntsville,AL,1.0,0.0,0.0,0,,,0.0,974.0,0.3337,0.5965,0.0246,0.0082,0.0113,0.001,0.0185,0.0,0.0062,0.4394,1,0.5763,0.0,0.4555,22300,PrivacySuppressed
Jacksonville State Univ.,Jacksonville,AL,0.0,0.0,0.0,0,495.0,485.0,0.0,7060.0,0.6834,0.2382,0.0132,0.0055,0.0072,0.001,0.0,0.0234,0.027999999999999997,0.1989,1,0.4428,0.6825,0.22,34600,23000
Jefferson Davis Comm. College,Brewton,AL,0.0,0.0,0.0,0,,,0.0,1033.0,0.5857,0.2982,0.0077,0.0252,0.0252,0.0,0.0184,0.0,0.0397,0.4424,1,0.5765,0.0,0.406,25400,PrivacySuppressed
Jefferson State Comm. College,Birmingham,AL,0.0,0.0,0.0,0,,,0.0,7443.0,0.6696,0.2246,0.0486,0.0183,0.0024,0.0008,0.0301,0.0054,0.0001,0.605,1,0.3372,0.2101,0.3671,29400,8916.5
John C Calhoun State Comm. College,Tanner,AL,0.0,0.0,0.0,0,,,0.0,9380.0,0.6528,0.19399999999999998,0.0435,0.0257,0.0182,0.0006,0.0428,0.0062,0.0162,0.5795,1,0.3933,0.3024,0.3688,27400,10500
Judson College,Marion,AL,0.0,0.0,1.0,1,,,0.0,376.0,0.7553,0.1622,0.016,0.0106,0.0053,0.0,0.0053,0.0133,0.0319,0.2926,1,0.4784,0.7205,0.2622,29300,PrivacySuppressed
Lawson State Comm. College-Birmingham Campus,Birmingham,AL,1.0,0.0,0.0,0,,,0.0,2905.0,0.1511,0.7384,0.0093,0.0055,0.0017,0.0017,0.0072,0.0028,0.0823,0.3917,1,0.7153,0.0,0.4089,23800,PrivacySuppressed
Univ. of West Alabama,Livingston,AL,0.0,0.0,0.0,0,,,0.0,1916.0,0.4421,0.4055,0.0224,0.0016,0.0016,0.001,0.013000000000000001,0.06,0.0527,0.1174,1,0.5323,0.6733,0.1786,33900,24253
Lurleen B Wallace Comm. College,Andalusia,AL,0.0,0.0,0.0,0,,,0.0,1393.0,0.6920000000000001,0.2728,0.0122,0.0057,0.0043,0.0,0.0108,0.0022,0.0,0.2757,1,0.5892,0.0,0.2503,25200,PrivacySuppressed
Marion Military Institute,Marion,AL,0.0,0.0,0.0,0,550.0,558.0,0.0,433.0,0.5727,0.2263,0.1016,0.0346,0.0115,0.0046,0.0323,0.0,0.0162,0.0,1,0.37799999999999995,0.6244,0.0048,44500,11500
Miles College,Fairfield,AL,1.0,0.0,0.0,1,,,0.0,1778.0,0.0169,0.9719,0.0028,0.0,0.0,0.0006,0.0056,0.0,0.0022,0.0371,1,0.8452,0.9244,0.1657,25700,36789.5
Univ. of Mobile,Mobile,AL,0.0,0.0,0.0,1,470.0,465.0,0.0,1460.0,0.6479,0.21100000000000002,0.0158,0.0048,0.0178,0.0,0.0233,0.0363,0.0432,0.1219,1,0.4909,0.7576,0.2782,35000,27000
Univ. of Montevallo,Montevallo,AL,0.0,0.0,0.0,0,548.0,528.0,0.0,2644.0,0.7266,0.1384,0.031,0.0064,0.0061,0.0,0.0234,0.0136,0.0545,0.1085,1,0.3972,0.5856,0.1203,34900,23266
Northwest-Shoals Comm. College,Muscle Shoals,AL,0.0,0.0,0.0,0,,,0.0,3304.0,0.7912,0.125,0.0339,0.0036,0.0088,0.0006,0.0012,0.0033,0.0324,0.434,1,0.5278,0.2455,0.2605,25200,11250
Univ. of North Alabama,Florence,AL,0.0,0.0,0.0,0,506.0,484.0,0.0,5485.0,0.7123,0.1384,0.0272,0.0047,0.0093,0.0009,0.0235,0.0425,0.0412,0.1535,1,0.4051,0.6733,0.1503,36100,21500
Northeast Alabama Comm. College,Rainsville,AL,0.0,0.0,0.0,0,,,0.0,2225.0,0.867,0.0225,0.0665,0.0054,0.0265,0.0009,0.0054,0.0045,0.0013,0.4117,1,0.5893,0.0,0.27699999999999997,28300,4500
Oakwood Univ.,Huntsville,AL,1.0,0.0,0.0,1,476.0,450.0,0.0,1878.0,0.0059,0.8514,0.0234,0.0016,0.0059,0.0,0.0,0.0783,0.0335,0.0682,1,0.5062,0.7271,0.1472,33900,27250
Alabama Southern Comm. College,Monroeville,AL,0.0,0.0,0.0,0,,,0.0,1180.0,0.5441,0.4203,0.0059,0.0042,0.011000000000000001,0.0,0.0068,0.0008,0.0068,0.2653,1,0.5841,0.0,0.1942,22400,PrivacySuppressed
Prince Institute-Southeast,Elmhurst,IL,0.0,0.0,0.0,0,,,0.0,84.0,0.7976,0.131,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7857,0.9375,0.6569,PrivacySuppressed,20992
Reid State Technical College,Evergreen,AL,0.0,0.0,0.0,0,,,0.0,425.0,0.5106,0.4588,0.0071,0.0024,0.0094,0.0,0.0071,0.0,0.0047,0.3506,1,0.5493,0.0,0.4081,20100,PrivacySuppressed
Bishop State Comm. College,Mobile,AL,1.0,0.0,0.0,0,,,0.0,2927.0,0.2504,0.6709999999999999,0.0191,0.0157,0.0075,0.0014,0.0123,0.0198,0.0027,0.3604,1,0.6327,0.0,0.3966,21800,PrivacySuppressed
Samford Univ.,Birmingham,AL,0.0,0.0,0.0,1,565.0,558.0,0.0,3033.0,0.8183,0.0656,0.06,0.0092,0.002,0.0,0.0115,0.0297,0.0036,0.0409,1,0.1391,0.3385,0.0601,45800,23000
Selma Univ.,Selma,AL,1.0,0.0,0.0,1,,,0.0,472.0,0.0106,0.9703,0.0,0.0,0.0,0.0,0.0042,0.0,0.0148,0.25,1,0.8247,0.8935,0.5017,,PrivacySuppressed
Shelton State Comm. College,Tuscaloosa,AL,1.0,0.0,0.0,0,,,0.0,4755.0,0.5613,0.3466,0.0036,0.0084,0.004,0.0002,0.0145,0.0015,0.0599,0.5184,1,0.4852,0.0,0.2297,24700,PrivacySuppressed
Snead State Comm. College,Boaz,AL,0.0,0.0,0.0,0,,,0.0,2098.0,0.7827,0.0648,0.0825,0.0076,0.0238,0.0,0.0,0.0086,0.03,0.2822,1,0.5865,0.2889,0.2867,26500,6374
Univ. of South Alabama,Mobile,AL,0.0,0.0,0.0,0,510.0,518.0,0.0,11267.0,0.6149,0.2374,0.0276,0.0345,0.0065,0.0013,0.0247,0.0382,0.0149,0.1942,1,0.3906,0.5729,0.2343,37300,24711
Spring Hill College,Mobile,AL,0.0,0.0,0.0,1,535.0,538.0,0.0,1215.0,0.6733,0.1556,0.0626,0.0107,0.0074,0.0,0.0346,0.0222,0.0337,0.0305,1,0.2307,0.6873,0.0712,42800,27000
Southeastern Bible College,Birmingham,AL,0.0,0.0,0.0,0,,,0.0,170.0,0.6176,0.3118,0.0176,0.0059,0.0059,0.0,0.0059,0.0059,0.0294,0.2294,1,0.6398,0.7702,0.5466,30300,24000
Stillman College,Tuscaloosa,AL,1.0,0.0,0.0,1,448.0,424.0,0.0,1056.0,0.0748,0.9034,0.017,0.0019,0.0,0.0,0.0,0.0019,0.0009,0.1061,1,0.8436,0.8992,0.0533,25700,38218
Talladega College,Talladega,AL,1.0,0.0,0.0,1,,,0.0,819.0,0.0647,0.8742,0.044000000000000004,0.0024,0.0,0.0,0.0,0.0,0.0147,0.0818,1,0.5747,0.5956,0.1706,25100,27745
H Councill Trenholm State Comm. College,Montgomery,AL,1.0,0.0,0.0,0,,,0.0,1230.0,0.3951,0.5756,0.0106,0.013000000000000001,0.0,0.0,0.0024,0.0008,0.0024,0.44799999999999995,1,0.5337,0.0,0.456,23100,PrivacySuppressed
Troy Univ.,Troy,AL,0.0,0.0,0.0,0,,,0.0,15025.0,0.5132,0.3386,0.0329,0.0078,0.0082,0.0011,0.0244,0.0282,0.0455,0.4001,1,0.4537,0.6521,0.5332,35600,25000
Tuskegee Univ.,Tuskegee,AL,1.0,0.0,0.0,0,455.0,465.0,0.0,2588.0,0.0035,0.7736,0.0035,0.0015,0.0004,0.0,0.0,0.0027,0.2148,0.0383,1,0.63,0.7639,0.0368,36800,33500
United States Sports Academy,Daphne,AL,0.0,0.0,0.0,0,,,0.0,90.0,0.4333,0.1222,0.0667,0.0222,0.0,0.0,0.0444,0.0,0.3111,0.8111,1,0.4,0.4632,0.4737,PrivacySuppressed,PrivacySuppressed
Bevill State Comm. College,Jasper,AL,0.0,0.0,0.0,0,,,0.0,3210.0,0.8009,0.1573,0.013999999999999999,0.0034,0.0016,0.0,0.0097,0.0,0.0131,0.4277,1,0.5639,0.0,0.3275,25900,PrivacySuppressed
Univ. of Alaska Anchorage,Anchorage,AK,0.0,0.0,0.0,0,,,0.0,12865.0,0.5747,0.0358,0.0761,0.0778,0.0653,0.0086,0.098,0.0181,0.0457,0.4539,1,0.2385,0.2647,0.4386,42500,19449.5
Alaska Bible College,Palmer,AK,0.0,0.0,0.0,1,,,0.0,27.0,0.8519,0.0,0.037000000000000005,0.0,0.0741,0.0,0.037000000000000005,0.0,0.0,0.1481,1,0.3571,0.2857,0.4286,,PrivacySuppressed
Univ. of Alaska Fairbanks,Fairbanks,AK,0.0,0.0,0.0,0,,,0.0,5536.0,0.4259,0.021,0.0522,0.0126,0.1284,0.0027,0.0401,0.011000000000000001,0.306,0.3887,1,0.2263,0.255,0.4519,36200,19355
Univ. of Alaska Southeast,Juneau,AK,0.0,0.0,0.0,0,,,0.0,1428.0,0.4748,0.0119,0.0623,0.0357,0.1029,0.0147,0.0686,0.0049,0.2241,0.5112,1,0.1769,0.1996,0.555,37400,16875
Alaska Pacific Univ.,Anchorage,AK,0.0,0.0,0.0,1,555.0,503.0,0.0,275.0,0.5309,0.0291,0.0364,0.0255,0.1855,0.0109,0.0945,0.0,0.0873,0.3745,1,0.3152,0.5297,0.491,47000,23250
AVTEC-Alaska's Institute of Technology,Seward,AK,0.0,0.0,0.0,0,,,0.0,889.0,0.5388,0.0112,0.0427,0.0157,0.1879,0.0112,0.0529,0.0,0.1395,0.6817,1,0.0737,0.0664,0.7127,33500,PrivacySuppressed
Charter College-Anchorage,Anchorage,AK,0.0,0.0,0.0,0,,,0.0,3256.0,0.4373,0.0599,0.3093,0.0123,0.0405,0.0577,0.0436,0.0,0.0393,0.0,1,0.8307,0.7503,0.5472,39200,13875
Alaska Career College,Anchorage,AK,0.0,0.0,0.0,0,,,0.0,479.0,0.38,0.096,0.1002,0.1983,0.1733,0.0084,0.0334,0.0,0.0104,0.0,1,0.7078,0.7859999999999999,0.5612,28700,8994
Everest College-Phoenix,Phoenix,AZ,0.0,0.0,0.0,1,,,0.0,4102.0,0.3162,0.4405,0.0763,0.0017,0.0207,0.0046,0.0373,0.0,0.1026,0.4749,0,0.8291,0.7151,0.67,28600,9500
Collins College,Phoenix,AZ,0.0,0.0,0.0,0,,,0.0,83.0,0.3253,0.0843,0.1566,0.0,0.0241,0.0,0.0241,0.0,0.3855,0.3373,0,0.7205,0.8228,0.4764,25700,47000
Empire Beauty School-Paradise Valley,Phoenix,AZ,0.0,0.0,0.0,1,,,0.0,25.0,0.76,0.04,0.12,0.0,0.0,0.04,0.04,0.0,0.0,0.16,0,0.6349,0.5873,0.4651,17800,9588
Empire Beauty School-Tucson,Tucson,AZ,0.0,0.0,0.0,0,,,0.0,126.0,0.2143,0.0873,0.5794,0.0159,0.0873,0.0079,0.0,0.0,0.0079,0.2222,1,0.7962,0.6615,0.4229,18200,9833
Thunderbird School of Global Management,Glendale,AZ,0.0,0.0,0.0,0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,118900,PrivacySuppressed
American Indian College Inc,Phoenix,AZ,0.0,0.0,0.0,1,,,0.0,89.0,0.0449,0.0562,0.1461,0.0225,0.6854,0.0449,0.0,0.0,0.0,0.0787,0,0.75,0.5375,0.4684,PrivacySuppressed,PrivacySuppressed
American Institute of Technology,Phoenix,AZ,0.0,0.0,0.0,0,,,0.0,266.0,0.4737,0.2481,0.1729,0.0226,0.0113,0.0038,0.0414,0.0,0.0263,0.0,1,0.4276,0.6477,0.9137,30800,6135
Carrington College-Phoenix,Phoenix,AZ,0.0,0.0,0.0,0,,,0.0,617.0,0.2674,0.0616,0.5754,0.0113,0.0713,0.0,0.0049,0.0,0.0081,0.0,1,0.7287,0.4754,0.2722,25100,9500
Carrington College-Mesa,Mesa,AZ,0.0,0.0,0.0,0,,,0.0,718.0,0.3677,0.0543,0.3886,0.0195,0.1476,0.0056,0.0125,0.0,0.0042,0.0139,1,0.7123,0.5455,0.4588,25100,9500
Carrington College-Tucson,Tucson,AZ,0.0,0.0,0.0,0,,,0.0,424.0,0.2759,0.0542,0.5943,0.0071,0.0425,0.0024,0.0142,0.0,0.0094,0.0,1,0.7434,0.5384,0.3568,25100,9500
CollegeAmerica-Flagstaff,Flagstaff,AZ,0.0,0.0,0.0,0,,,0.0,176.0,0.1989,0.0114,0.125,0.0,0.6307,0.0,0.0057,0.0,0.0284,0.0,1,0.8732,0.8592,0.6277,24000,25607.5
Arizona Academy of Beauty-East,Tucson,AZ,0.0,0.0,0.0,0,,,0.0,32.0,0.4688,0.0625,0.3438,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,1,0.6552,0.4655,0.4894,16300,5500
Arizona Automotive Institute,Glendale,AZ,0.0,0.0,0.0,0,,,0.0,628.0,0.3774,0.0812,0.3328,0.0048,0.1274,0.043,0.0,0.0,0.0334,0.0,0,0.7919,0.7592,0.6,33500,13000
Brookline College-Phoenix,Phoenix,AZ,0.0,0.0,0.0,0,,,0.0,1357.0,0.3478,0.19899999999999998,0.3088,0.0214,0.0575,0.0037,0.0265,0.0007,0.0346,0.3051,1,0.687,0.6783,0.6389,22200,9500
Arizona State Univ.-Tempe,Tempe,AZ,0.0,0.0,0.0,0,565.0,580.0,0.0,39316.0,0.5457,0.0394,0.188,0.0686,0.0133,0.0024,0.0401,0.0942,0.0083,0.0902,1,0.3192,0.4527,0.1414,45100,20229
Arizona Western College,Yuma,AZ,0.0,0.0,0.0,0,,,0.0,7218.0,0.1793,0.0292,0.6952,0.01,0.0114,0.003,0.0109,0.0313,0.0296,0.655,1,0.5581,0.0469,0.3166,27000,5500
Univ. of Arizona,Tucson,AZ,0.0,0.0,0.0,0,,,0.0,32646.0,0.5323,0.0355,0.2535,0.0555,0.0115,0.0027,0.0419,0.0574,0.0096,0.1012,1,0.3349,0.4055,0.091,44000,19000
Southwest Univ. of Visual Arts-Tucson,Tucson,AZ,0.0,0.0,0.0,0,,,0.0,161.0,0.4534,0.0435,0.3168,0.0062,0.0311,0.0,0.0,0.0,0.1491,0.2795,1,0.4469,0.4292,0.8657,27200,49750
Central Arizona College,Coolidge,AZ,0.0,0.0,0.0,0,,,0.0,5275.0,0.461,0.07200000000000001,0.2709,0.0199,0.0476,0.0063,0.037000000000000005,0.0036,0.0817,0.6535,1,0.4708,0.168,0.4518,27500,9993
Brown Mackie College-Tucson,Tucson,AZ,0.0,0.0,0.0,0,,,0.0,611.0,0.3552,0.1211,0.4354,0.018000000000000002,0.0573,0.0033,0.0,0.0,0.0098,0.0,1,0.8567,0.7895,0.652,27400,22141.5
Charles of Italy Beauty College,Lake Havasu City,AZ,0.0,0.0,0.0,0,,,0.0,54.0,0.7593,0.0185,0.2037,0.0,0.0185,0.0,0.0,0.0,0.0,0.0,1,0.7405,0.6107,0.4819,14500,7389
Cochise County Comm. College District,Douglas,AZ,0.0,0.0,0.0,0,,,0.0,3759.0,0.4185,0.0492,0.457,0.013000000000000001,0.0074,0.0067,0.0229,0.004,0.0213,0.5539,1,0.336,0.0721,0.4534,28600,6500
Empire Beauty School-Flagstaff,Flagstaff,AZ,0.0,0.0,0.0,0,,,0.0,60.0,0.5167,0.0333,0.1333,0.0,0.2833,0.0,0.0333,0.0,0.0,0.0,1,0.7381,0.6786,0.3208,17800,10050
Empire Beauty School-Chandler,Chandler,AZ,0.0,0.0,0.0,0,,,0.0,97.0,0.268,0.2165,0.3918,0.0206,0.0722,0.0103,0.0206,0.0,0.0,0.2577,1,0.7714,0.7143,0.469,17800,10050
Cortiva Institute-Tucson,Tucson,AZ,0.0,0.0,0.0,0,,,0.0,130.0,0.4923,0.0231,0.3923,0.0154,0.0231,0.0,0.0077,0.0,0.0462,0.4231,1,0.629,0.8190000000000001,0.5664,20000,6333
Avalon School of Cosmetology-Mesa,Mesa,AZ,0.0,0.0,0.0,0,,,0.0,360.0,0.5056,0.0972,0.3028,0.0111,0.0333,0.0028,0.025,0.0,0.0222,0.3667,1,0.6218,0.6495,0.293,19600,11458
Eastern Arizona College,Thatcher,AZ,0.0,0.0,0.0,0,,,0.0,4634.0,0.585,0.0457,0.2098,0.0108,0.0872,0.0056,0.0108,0.0093,0.0358,0.6196,1,0.1859,0.0,0.5279,28700,PrivacySuppressed
Embry-Riddle Aeronautical Univ.-Prescott,Prescott,AZ,0.0,0.0,0.0,0,,,0.0,1971.0,0.5753,0.0167,0.0558,0.0553,0.0036,0.0056,0.0939,0.0989,0.0949,0.0518,1,0.2501,0.5189,0.1208,61500,24411
Frank Lloyd Wright School of Architecture,Scottsdale,AZ,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,1,,,0.0,,PrivacySuppressed
Glendale Comm. College,Glendale,AZ,0.0,0.0,0.0,0,,,0.0,16156.0,0.4431,0.0712,0.3424,0.043,0.0164,0.0032,0.0221,0.0106,0.048,0.6157,1,0.3824,0.1784,0.3324,33600,7000
Grand Canyon Univ.,Phoenix,AZ,0.0,0.0,0.0,0,,,0.0,38905.0,0.479,0.1867,0.1652,0.0443,0.0093,0.0048,0.0276,0.0,0.0831,0.7307,1,0.5055,0.6189,0.664,44500,18750
International Academy of Hair Design,Tempe,AZ,0.0,0.0,0.0,0,,,0.0,188.0,0.2713,0.25,0.3670000000000001,0.016,0.016,0.0,0.016,0.0,0.0638,0.0,0,0.7185,0.7346,0.3905,22200,10556
GateWay Comm. College,Phoenix,AZ,0.0,0.0,0.0,0,,,0.0,5211.0,0.3585,0.1201,0.3389,0.0355,0.0451,0.0029,0.0127,0.0161,0.0702,0.7465,1,0.327,0.2189,0.5832,29800,7283
Mesa Comm. College,Mesa,AZ,0.0,0.0,0.0,0,,,0.0,19055.0,0.5002,0.0661,0.2354,0.039,0.0403,0.0046,0.0205,0.0257,0.0682,0.6457,1,0.3423,0.2207,0.401,35200,8000
ITT Technical Institute-Tucson,Tucson,AZ,0.0,0.0,0.0,0,,,0.0,400.0,0.4375,0.0625,0.3375,0.0275,0.0525,0.005,0.035,0.0,0.0425,0.24,0,0.8191,0.7311,0.7457,38800,25827.5
ITT Technical Institute-Tempe,Tempe,AZ,0.0,0.0,0.0,0,,,0.0,445.0,0.4427,0.0921,0.2517,0.0247,0.1326,0.0,0.0292,0.0,0.027000000000000003,0.2854,0,0.7229,0.8012,0.7048,38800,25827.5
Mohave Comm. College,Kingman,AZ,0.0,0.0,0.0,0,,,0.0,4044.0,0.7085,0.0138,0.1946,0.0163,0.0185,0.0057,0.022000000000000002,0.0,0.0205,0.747,1,0.4731,0.221,0.4639,26900,13765
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,0.0,0.0,0.0,0,,,0.0,1724.0,0.6972,0.0365,0.0835,0.0041,0.0203,0.0087,0.0812,0.0012,0.0673,0.0,1,0.4898,0.6014,0.5710000000000001,34800,18139
Dine College,Tsaile,AZ,0.0,0.0,0.0,0,,,0.0,1420.0,0.0056,0.0014,0.0007,0.0028,0.9894,0.0,0.0,0.0,0.0,0.4056,1,0.6092,0.0,0.4399,20900,PrivacySuppressed
Northern Arizona Univ.,Flagstaff,AZ,0.0,0.0,0.0,0,,,0.0,23189.0,0.6109,0.0336,0.2034,0.0165,0.0272,0.0025,0.0517,0.0482,0.006,0.1735,1,0.3662,0.5376,0.1989,39100,20500
Northland Pioneer College,Holbrook,AZ,0.0,0.0,0.0,0,,,0.0,1691.0,0.4672,0.0106,0.0905,0.0065,0.3732,0.0018,0.0059,0.0,0.0444,0.7534,1,0.2861,0.0,0.3944,23800,PrivacySuppressed
Ottawa Univ.-Phoenix,Phoenix,AZ,0.0,0.0,0.0,1,,,0.0,345.0,0.5188,0.0957,0.1449,0.0087,0.0319,0.0029,0.0348,0.0029,0.1594,0.9942,1,0.5246,0.6203,0.8841,40300,22000
Phoenix College,Phoenix,AZ,0.0,0.0,0.0,0,,,0.0,9921.0,0.2543,0.1104,0.4619,0.0345,0.0272,0.0027,0.0152,0.0042,0.0895,0.6933,1,0.4639,0.2621,0.504,32200,11389
Cortiva Institute-Scottsdale,Scottsdale,AZ,0.0,0.0,0.0,0,,,0.0,87.0,0.4943,0.046,0.1724,0.0345,0.0345,0.0,0.046,0.0,0.1724,0.5402,1,0.4765,0.8591,0.6207,24000,7600
